strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,85,3336,0.39568345323741005,0.4666127649919125,-0.08690831229959743,289.92612983145904,-23.05535197224591,-289.92612983145705,30,,,1.5,,0.003,0.003,45
donchian_breakout,86,3554,0.39786156443444004,0.4663629959497012,-0.08685751361156042,308.69160337548834,-24.381355917852876,-308.6916033754857,20,,,1.5,,0.003,0.003,45
donchian_breakout,87,3635,0.38046767537826687,0.46627590873156943,-0.08348876492197406,303.5532124845888,-12.686735185449852,-303.4816604913757,30,,,1.2,,0.003,0.0025,45
donchian_breakout,88,3532,0.2814269535673839,0.4659785349721607,-0.08073101244004381,285.46968468217784,-2.5829691258850507,-285.1419359382347,20,,,1.5,,0.006,0.002,30
donchian_breakout,89,4508,0.39840283939662824,0.4659352223618597,-0.08661318823696129,390.5238045654388,-29.82418224511953,-390.4522525722215,10,,,1.0,,0.003,0.003,45
donchian_breakout,90,4670,0.3297644539614561,0.46589801749515586,-0.0809990380160043,378.2688668327428,-4.667374484533887,-378.2655075347401,10,,,1.0,,0.004,0.0025,30
donchian_breakout,91,3911,0.33853234466888266,0.465660978876647,-0.08399987378316216,328.567429076672,-15.649766272456207,-328.52350636594724,20,,,1.2,,0.004,0.003,30
donchian_breakout,92,3582,0.336962590731435,0.46530167243267534,-0.08439224808370618,302.2930326358377,-15.739328367182415,-302.2930326358356,20,,,1.5,,0.004,0.003,30
donchian_breakout,93,3614,0.32650802434975096,0.4652943873668446,-0.0817799245813284,295.55264743692334,-6.43522152553102,-295.55264743692084,20,,,1.5,,0.004,0.0025,30
donchian_breakout,94,3727,0.39737053930775423,0.46469488287681854,-0.08714781348075669,324.8714528359942,-26.65056106720704,-324.7999008427802,30,,,1.0,,0.003,0.003,45
donchian_breakout,95,3836,0.28258602711157454,0.4645708247617658,-0.08081015909475552,310.3605507369579,-3.1090138930393634,-309.98777028748214,10,,,1.5,,0.006,0.002,30
donchian_breakout,96,3909,0.32719365566641084,0.4645078003150132,-0.08151633939098256,318.64737067935516,-5.929742576381417,-318.64737067935084,10,,,1.5,,0.004,0.0025,30
donchian_breakout,97,4565,0.28389923329682365,0.4638820814611417,-0.08028406791837275,366.74445416272664,-1.2972889629568267,-366.4967700473716,10,,,1.0,,0.006,0.002,30
donchian_breakout,98,3604,0.379023307436182,0.4636691179907949,-0.08420260935829017,303.46620412728015,-15.152265033291105,-303.46620412727776,20,,,1.5,,0.003,0.0025,45
donchian_breakout,99,3241,0.2912681271212589,0.4628221344380168,-0.08551862622823558,278.8179334166403,-17.893024815637773,-277.1658676057115,30,,,1.5,,0.006,0.0025,30
donchian_breakout,100,4051,0.3991607010614663,0.46279134037309577,-0.08739571450911503,354.11159146964025,-29.97202828774006,-354.04003947642497,20,,,1.0,,0.003,0.003,45
donchian_breakout,101,3546,0.2805978567399887,0.4625694864164771,-0.08103568553653676,287.48069124441867,-3.67401051676606,-287.35254091255933,30,,,1.2,,0.006,0.002,30
donchian_breakout,102,3378,0.3762581409117821,0.4622945129742481,-0.08463545077372203,285.89855271363444,-15.664818641089466,-285.898552713633,30,,,1.5,,0.003,0.0025,45
donchian_breakout,103,3446,0.3546140452698781,0.46227299551550904,-0.07994130260906472,275.4777287908398,0.20235215002299994,-275.47772879083703,30,,,1.5,,0.003,0.002,45
donchian_breakout,104,4148,0.32497589199614274,0.4621646067715907,-0.0820354017994701,340.32676937492835,-8.446225154263642,-340.28284666420194,20,,,1.0,,0.004,0.0025,30
donchian_breakout,105,3670,0.3103542234332425,0.46207009812307265,-0.0786518929423614,288.65244709846917,4.94953271461956,-288.6524470984663,20,,,1.5,,0.004,0.002,30
donchian_breakout,106,3888,0.3773148148148148,0.46193017228397504,-0.08457236108550811,328.8173399004604,-17.78445368192828,-328.8173399004555,10,,,1.5,,0.003,0.0025,45
